Opportunity Name,Billing State/Province,Account Type,Account Owner,Product Name,Amount,#,Account Name,Billing Country,Close Date,Closed,Created Date,Forecast Category,Industry,Opportunity Owner,Opportunity Source,Opportunity Type,Owner Role,Product Family,Segment,Stage,Won
Opportunity for Perez1775,,Customer,Kelly Frazier,Light tablet 2,2208300,602,Holloway944 Inc,Singapore,12/15/20,True,2015-11-21T00:00:00.000Z,Closed,Insurance,Nicolas Weaver,Marketing,New Business,Sales AMER,Laptops,MM,08 - Closed Won,True
Opportunity for Guzman213,IA,Partner,Eric Gutierrez,Light laptop,640000,92,Bass661 Inc,USA,5/8/21,True,2016-03-09T00:00:00.000Z,Closed,Agriculture,Evelyn Williamson,Alliances,New Business / Add-on,Sales WW,Laptops,SMB,08 - Closed Won,True
Opportunity for Horton207,MN,Customer,Doroth Gardner,Cables,2166890,74,Long31 Inc,USA,5/1/21,True,2015-11-24T00:00:00.000Z,Closed,Consulting,Laura Garza,AE,New Business,Sales WW,Accessories,COMM,08 - Closed Won,True
Opportunity for Elliott511,,Customer,Catherine Brown,Cases,679555,407,Figueroa166 Inc,Belgium,12/26/21,False,2016-08-02T00:00:00.000Z,Pipeline,Utilities,Catherine Brown,Alliances,New Business,Sales WW,Accessories,SMB,03 - Needs Analysis,False
Opportunity for Alexander455,TN,Customer,Nicolas Weaver,Light laptop,1003750,305,Phelps549 Inc,USA,10/7/20,True,2015-08-09T00:00:00.000Z,Closed,Finance,Kelly Frazier,Marketing,New Business,Sales EMEA,Laptops,ESMB,08 - Closed Won,True
Opportunity for Pope508,,Customer,Harold Campbell,,499523,387,Hoffman761 Inc,China,8/3/21,True,2016-07-03T00:00:00.000Z,Omitted,Apparel,Doroth Gardner,BDR,New Business / Add-on,Sales AMER,,ENT,09 - Closed Lost,False
Opportunity for Griffin1933,FL,Customer,Eric Sanchez,,150043,292,Patton86 Inc,USA,4/3/21,True,2015-10-17T00:00:00.000Z,Closed,Finance,Nicolas Weaver,AE,New Business / Add-on,Sales AMER,,SMB,08 - Closed Won,True
Opportunity for Lewis1718,,Customer,Laura Garza,Notebook,1415700,524,Morton128 Inc,Japan,8/1/21,True,2016-01-24T00:00:00.000Z,Closed,Transportation,Irene McCoy,Marketing,New Business,Sales WW,Laptops,SMB,08 - Closed Won,True
Opportunity for Romero1224,NJ,Customer,Laura Garza,,4561,360,Rios830 Inc,USA,12/18/21,False,2016-06-08T00:00:00.000Z,Best Case,Apparel,Evelyn Williamson,AE,New Business,Sales WW,,MM,05 - Perception Analysis,False
Opportunity for Taylor1674,AR,Customer,Catherine Brown,Courses,1542350,461,Hanson683 Inc,Canada,8/12/21,True,2016-03-25T00:00:00.000Z,Closed,Consulting,Eric Sanchez,BDR,New Business,Sales WW,Digital Media,MM,08 - Closed Won,True
Opportunity for Nguyen1510,,Customer,Dennis Howard,Space phone 3,791500,221,Hawkins276 Inc,Switzerland,9/13/21,False,2016-03-31T00:00:00.000Z,Pipeline,Insurance,Evelyn Williamson,Marketing,New Business,Sales WW,Phones,MM,02 - Qualification,False
Opportunity for Schultz736,,Customer,Julie Chavez,Courses,324200,200,Benson346 Inc,China,8/10/20,True,2015-06-12T00:00:00.000Z,Omitted,Technology,Kelly Frazier,Marketing,New Business,Sales EMEA,Digital Media,MM,09 - Closed Lost,False
Opportunity for Maxwell1082,IN,Customer,Laura Garza,,457656,135,Hill331 Inc,USA,1/30/21,True,2015-08-03T00:00:00.000Z,Closed,Apparel,Laura Palmer,AE,New Business / Add-on,Sales EMEA,,SMB,08 - Closed Won,True
Opportunity for Allison1031,LA,Customer,Doroth Gardner,Pro laptop,2241400,618,Patterson932 Inc,USA,11/8/20,True,2015-04-19T00:00:00.000Z,Closed,Telecommunications,Bruce Kennedy,Marketing,New Business,Sales AMER,Laptops,MM,08 - Closed Won,True
Opportunity for Allison1432,,Customer,Evelyn Williamson,Cases,1471800,656,Strickland686 Inc,Norway,7/27/21,True,2016-06-05T00:00:00.000Z,Omitted,Energy,Evelyn Williamson,Marketing,New Business,Sales WW,Accessories,ESMB,09 - Closed Lost,False
Opportunity for Duncan681,,Customer,Eric Gutierrez,Courses,63600,645,Greer831 Inc,Denmark,9/4/20,True,2015-07-30T00:00:00.000Z,Closed,Finance,Nicolas Weaver,BDR,New Business,Sales AMER,Digital Media,SMB,08 - Closed Won,True
Opportunity for Wagner150,,Customer,Chris Riley,Books,2660660,9,Bishop597 Inc,United Kingdom,4/25/21,True,2015-11-28T00:00:00.000Z,Omitted,Agriculture,Bruce Kennedy,AE,Existing Business,Sales AMER,Digital Media,MM,09 - Closed Lost,False
Opportunity for Barnes141,IA,Partner,Catherine Brown,Keyboard,363400,6,Conner513 Inc,Canada,9/4/21,False,2016-05-20T00:00:00.000Z,Pipeline,Engineering,John Williams,BDR,New Business / Add-on,Sales WW,Accessories,SMB,02 - Qualification,False
Opportunity for Rogers1242,LA,Customer,Laura Palmer,Certifications,3907275,394,Watts685 Inc,USA,4/4/21,True,2015-09-28T00:00:00.000Z,Closed,Biotechnology,John Williams,AE,New Business,Sales WW,Digital Media,GB,08 - Closed Won,True
Opportunity for Neal1804,,Customer,Kelly Frazier,Keyboard,1046380,661,Zimmerman646 Inc,Taiwan,12/16/20,True,2015-08-18T00:00:00.000Z,Omitted,Banking,Catherine Brown,Marketing,New Business / Add-on,Sales WW,Accessories,ESMB,09 - Closed Lost,False
Opportunity for Ramos1851,ID,Customer,Irene McCoy,Books,388890,154,Graves33 Inc,Canada,2/18/21,True,2015-09-30T00:00:00.000Z,Closed,Telecommunications,Bruce Kennedy,Marketing,Existing Business,Sales AMER,Accessories,MM,08 - Closed Won,True
Opportunity for Lowe69,,Customer,Johnny Green,,476918,83,Ellis805 Inc,Russia,3/11/21,True,2015-09-29T00:00:00.000Z,Closed,Healthcare,Irene Kelley,Marketing,New Business,Sales AMER,,SMB,08 - Closed Won,True
Opportunity for Dawson1776,MA,Customer,Julie Chavez,Light tablet 2,2434650,603,Martinez228 Inc,USA,7/17/20,True,2015-01-09T00:00:00.000Z,Omitted,Retail,Harold Campbell,AE,New Business / Add-on,Sales EMEA,Laptops,SMB,09 - Closed Lost,False
Opportunity for Moody784,MA,Customer,Eric Gutierrez,Courses,82925,269,Perez590 Inc,USA,2/10/21,True,2015-08-19T00:00:00.000Z,Closed,Retail,Evelyn Williamson,AE,New Business,Sales WW,Digital Media,SMB,08 - Closed Won,True
Opportunity for Hughes209,IN,Partner,Eric Gutierrez,Cables,19640,89,Edwards434 Inc,USA,4/20/21,True,2016-01-13T00:00:00.000Z,Omitted,Transportation,Chris Riley,Alliances,Existing Business,Sales EMEA,Accessories,COMM,09 - Closed Lost,False
Opportunity for Dennis524,GA,Partner,Nicolas Weaver,Books,3390620,413,Rodgers79 Inc,USA,2/9/21,True,2015-12-30T00:00:00.000Z,Closed,Banking,Eric Gutierrez,AE,New Business,Sales AMER,Accessories,MM,08 - Closed Won,True
Opportunity for Figueroa377,,Customer,Laura Garza,Cables,5839810,56,Harris13 Inc,Norway,8/28/21,False,2016-06-02T00:00:00.000Z,Best Case,Banking,Bruce Kennedy,Marketing,New Business / Add-on,Sales AMER,Accessories,MM,05 - Perception Analysis,False
Opportunity for Harper1957,ND,Partner,Irene Kelley,Certifications,421000,335,Fowler322 Inc,Canada,8/15/21,True,2016-05-22T00:00:00.000Z,Closed,Apparel,Evelyn Williamson,BDR,New Business,Sales WW,Digital Media,SMB,08 - Closed Won,True
Opportunity for Morrison510,,Customer,Dennis Howard,,75289,406,Carr43 Inc,Australia,11/13/20,True,2015-03-25T00:00:00.000Z,Closed,Apparel,Doroth Gardner,Alliances,New Business,Sales AMER,,MM,08 - Closed Won,True
Opportunity for Clarke523,,Customer,Laura Garza,Courses,4805100,412,Casey47 Inc,Spain,4/1/21,True,2016-01-05T00:00:00.000Z,Omitted,Education,Eric Gutierrez,Alliances,New Business / Add-on,Sales AMER,Accessories,ESMB,09 - Closed Lost,False
Opportunity for Rios369,TX,Customer,Catherine Brown,Space phone 2,112725,28,King177 Inc,USA,10/3/20,True,2015-04-18T00:00:00.000Z,Omitted,Telecommunications,Irene McCoy,AE,New Business / Add-on,Sales WW,Phones,SMB,09 - Closed Lost,False
Opportunity for Gray19,,Partner,Irene Kelley,Cables,690210,34,Barnett543 Inc,Hong Kong,8/28/20,True,2015-04-08T00:00:00.000Z,Closed,Consulting,Harold Campbell,Marketing,New Business,Sales EMEA,Accessories,GB,08 - Closed Won,True
Opportunity for Perkins1263,,Customer,Doroth Gardner,Books,1314185,419,Turner924 Inc,South Korea,11/28/21,False,2016-08-11T00:00:00.000Z,Commit,Utilities,Laura Garza,AE,Existing Business,Sales WW,Digital Media,ESMB,07 - Negotiation/Review,False
Opportunity for Austin1360,WA,Customer,Catherine Brown,,347730,547,Ramsey114 Inc,Canada,9/16/21,False,2016-02-01T00:00:00.000Z,Pipeline,Manufacturing,Laura Palmer,BDR,New Business,Sales EMEA,,COMM,04 - Value Proposition,False
Opportunity for Cook1618,,Customer,John Williams,Keyboard,835870,403,May967 Inc,Belgium,7/8/21,True,2016-03-07T00:00:00.000Z,Omitted,Manufacturing,Chris Riley,AE,New Business,Sales EMEA,Accessories,ESMB,09 - Closed Lost,False
Opportunity for Parker1715,,Customer,Laura Palmer,Books,886570,522,Aguilar870 Inc,Russia,9/25/21,False,2016-05-30T00:00:00.000Z,Commit,Media,Eric Gutierrez,AE,New Business / Add-on,Sales AMER,Digital Media,ESMB,07 - Negotiation/Review,False
Opportunity for Smith309,,Customer,Eric Sanchez,Books,3709600,100,Fleming816 Inc,Germany,2/12/21,True,2015-07-25T00:00:00.000Z,Closed,Insurance,Laura Palmer,BDR,New Business,Sales EMEA,Digital Media,MM,08 - Closed Won,True
Opportunity for Owen1000,,Partner,Harold Campbell,Space phone 3,264000,572,Nguyen793 Inc,Turkey,7/4/20,True,2015-02-08T00:00:00.000Z,Closed,Retail,Catherine Brown,Marketing,Existing Business,Sales WW,Phones,ESMB,08 - Closed Won,True
Opportunity for Brown672,,Partner,John Williams,Cases,2684465,643,Clayton557 Inc,Australia,3/1/21,True,2015-09-23T00:00:00.000Z,Closed,Apparel,Eric Sanchez,Alliances,Existing Business,Sales WW,Accessories,ESMB,08 - Closed Won,True
Opportunity for McKenzie1652,,Partner,Julie Chavez,Light laptop,2386625,428,Warren653 Inc,France,8/13/21,True,2016-04-07T00:00:00.000Z,Closed,Retail,Eric Gutierrez,Marketing,New Business,Sales AMER,Laptops,MM,08 - Closed Won,True
Opportunity for Banks821,,Customer,Catherine Brown,,133017,314,Walsh54 Inc,Italy,11/16/21,False,2016-04-12T00:00:00.000Z,Best Case,Telecommunications,Nicolas Weaver,Marketing,New Business,Sales AMER,,SMB,05 - Perception Analysis,False
Opportunity for Munoz1931,,Customer,Laura Palmer,Cables,1113000,291,Beck370 Inc,Hong Kong,9/10/20,True,2015-05-09T00:00:00.000Z,Closed,Finance,Johnny Green,AE,New Business / Add-on,Sales WW,Accessories,GB,08 - Closed Won,True
Opportunity for Hoffman1430,LA,Customer,Kelly Frazier,Mouse,1183700,654,Benson657 Inc,USA,12/30/20,True,2015-10-06T00:00:00.000Z,Closed,Communications,Laura Palmer,AE,Existing Business,Sales EMEA,Accessories,SMB,08 - Closed Won,True
Opportunity for Armstrong916,,Customer,Eric Sanchez,,237283,446,Duncan773 Inc,Japan,5/21/21,True,2015-12-28T00:00:00.000Z,Omitted,Technology,Chris Riley,Marketing,New Business / Add-on,Sales EMEA,,ESMB,09 - Closed Lost,False
Opportunity for Frank1303,,Customer,Dennis Howard,Light tablet 2,1886550,452,Holmes7 Inc,South Korea,7/23/20,True,2015-03-25T00:00:00.000Z,Closed,Engineering,Eric Gutierrez,Marketing,New Business,Sales AMER,Tablets,MM,08 - Closed Won,True
Opportunity for Peterson119,,Customer,Dennis Howard,Books,195360,111,Hawkins276 Inc,Switzerland,1/18/21,True,2015-07-13T00:00:00.000Z,Omitted,Insurance,Bruce Kennedy,Marketing,New Business / Add-on,Sales AMER,Digital Media,MM,09 - Closed Lost,False
Opportunity for Gomez694,,Customer,Julie Chavez,Cables,452200,127,Schmidt289 Inc,Japan,5/2/21,True,2015-11-04T00:00:00.000Z,Omitted,Manufacturing,Nicolas Weaver,Marketing,New Business / Add-on,Sales AMER,Accessories,MM,09 - Closed Lost,False
Opportunity for McCoy227,AR,Customer,Irene McCoy,Space phone 3,917500,97,Cox450 Inc,USA,2/13/21,True,2015-11-07T00:00:00.000Z,Closed,Electronics,Johnny Green,BDR,New Business / Add-on,Sales WW,Phones,MM,08 - Closed Won,True
Opportunity for Todd1938,,Customer,Irene Kelley,Pro laptop,466200,294,Munoz282 Inc,Thailand,2/11/22,False,2016-06-26T00:00:00.000Z,Pipeline,Manufacturing,Catherine Brown,Marketing,New Business,Sales WW,Laptops,ESMB,02 - Qualification,False
Opportunity for George802,MT,Customer,Evelyn Williamson,Certifications,214100,275,Bailey19 Inc,USA,6/29/21,True,2016-05-13T00:00:00.000Z,Closed,Biotechnology,Catherine Brown,Alliances,Existing Business,Sales WW,Digital Media,SMB,08 - Closed Won,True
Opportunity for West206,,Customer,Irene McCoy,Books,2103270,73,Moran300 Inc,Italy,1/24/21,True,2015-08-26T00:00:00.000Z,Omitted,Healthcare,Catherine Brown,AE,New Business,Sales WW,Accessories,GB,09 - Closed Lost,False
Opportunity for Ruiz650,NE,Customer,Johnny Green,,209640,613,Armstrong378 Inc,Canada,7/14/21,True,2016-04-01T00:00:00.000Z,Closed,Insurance,Eric Gutierrez,Marketing,New Business / Add-on,Sales AMER,,GB,08 - Closed Won,True
Opportunity for Estrada957,TX,Customer,Eric Gutierrez,Cables,488860,502,Banks163 Inc,USA,11/15/21,False,2016-04-12T00:00:00.000Z,Commit,Technology,Doroth Gardner,Marketing,New Business,Sales AMER,Accessories,SMB,07 - Negotiation/Review,False
Opportunity for Gill1167,,Customer,Dennis Howard,Courses,313200,246,Gibson62 Inc,Norway,7/24/21,True,2016-04-30T00:00:00.000Z,Omitted,Healthcare,Dennis Howard,AE,New Business,Sales EMEA,Digital Media,MM,09 - Closed Lost,False
Opportunity for Wood1594,,Customer,Eric Gutierrez,Cables,140105,369,Henderson891 Inc,Thailand,5/14/21,True,2016-01-07T00:00:00.000Z,Omitted,Banking,John Williams,AE,New Business,Sales WW,Accessories,MM,09 - Closed Lost,False
Opportunity for Wade966,,Partner,Catherine Brown,Mini tablet 2,552000,507,West49 Inc,Japan,1/9/22,False,2016-06-28T00:00:00.000Z,Pipeline,Apparel,Laura Palmer,Marketing,New Business,Sales EMEA,Phones,SMB,03 - Needs Analysis,False
Opportunity for Stone1959,VT,Customer,Irene Kelley,Light laptop,1052275,336,Payne411 Inc,USA,6/15/21,True,2016-02-23T00:00:00.000Z,Closed,Communications,Irene McCoy,Marketing,New Business / Add-on,Sales WW,Laptops,SMB,08 - Closed Won,True
Opportunity for Elliott1378,,Customer,Dennis Howard,Mega laptop,3164200,581,Lawrence50 Inc,Norway,2/10/21,True,2015-07-18T00:00:00.000Z,Omitted,Technology,Chris Riley,Marketing,New Business,Sales EMEA,Laptops,SMB,09 - Closed Lost,False
Opportunity for Phelps205,,Customer,Harold Campbell,Space phone 2,53325,68,Bryan926 Inc,Singapore,12/29/21,False,2016-05-18T00:00:00.000Z,Pipeline,Engineering,Catherine Brown,BDR,Existing Business,Sales WW,Phones,GB,03 - Needs Analysis,False
Opportunity for Barton1764,MI,Customer,Kelly Frazier,Books,3209120,600,Hill463 Inc,USA,12/23/21,False,2016-07-29T00:00:00.000Z,Pipeline,Telecommunications,Laura Garza,BDR,New Business,Sales WW,Digital Media,SMB,04 - Value Proposition,False
Opportunity for Alvarez1088,,Partner,Kelly Frazier,Mega laptop,2592000,137,Allison992 Inc,Japan,10/30/21,False,2016-04-09T00:00:00.000Z,Pipeline,Media,Dennis Howard,BDR,New Business,Sales EMEA,Laptops,GB,03 - Needs Analysis,False
Opportunity for White1730,,Customer,Chris Riley,Cables,1994920,556,Collins522 Inc,Japan,9/22/21,False,2016-06-01T00:00:00.000Z,Commit,Engineering,Bruce Kennedy,Marketing,New Business / Add-on,Sales AMER,Accessories,ESMB,07 - Negotiation/Review,False
Opportunity for Franklin560,OK,Customer,Nicolas Weaver,Cables,1420100,466,Lawrence491 Inc,Canada,10/19/21,False,2016-05-18T00:00:00.000Z,Pipeline,Transportation,Dennis Howard,Marketing,New Business / Add-on,Sales EMEA,Accessories,GB,01 - Prospecting,False
Opportunity for Sanders1345,,Customer,Doroth Gardner,Cables,773640,517,Adkins42 Inc,Japan,7/15/21,True,2016-02-29T00:00:00.000Z,Closed,Utilities,Dennis Howard,Marketing,Existing Business,Sales EMEA,Accessories,MM,08 - Closed Won,True
Opportunity for Nash605,OR,Customer,Julie Chavez,Light tablet,1840600,534,Mann440 Inc,USA,6/9/21,True,2016-05-04T00:00:00.000Z,Closed,Electronics,Bruce Kennedy,AE,New Business / Add-on,Sales AMER,Laptops,SMB,08 - Closed Won,True
Opportunity for Quinn715,,Customer,Harold Campbell,Books,2818630,159,Herrera637 Inc,China,11/1/20,True,2015-06-12T00:00:00.000Z,Closed,Utilities,Laura Garza,AE,New Business / Add-on,Sales WW,Digital Media,MM,08 - Closed Won,True
Opportunity for Armstrong296,MO,Customer,Chris Riley,Books,236040,51,Soto36 Inc,USA,11/23/20,True,2015-08-31T00:00:00.000Z,Closed,Healthcare,Kelly Frazier,BDR,New Business,Sales EMEA,Digital Media,ESMB,08 - Closed Won,True
Opportunity for Collier276,,Customer,John Williams,Keyboard,582035,18,Daniels141 Inc,Germany,11/15/21,False,2016-06-17T00:00:00.000Z,Pipeline,Utilities,Nicolas Weaver,AE,New Business / Add-on,Sales AMER,Accessories,GB,02 - Qualification,False
Opportunity for Moore962,,Customer,John Williams,Books,39960,506,Lopez621 Inc,France,11/21/21,False,2016-06-03T00:00:00.000Z,Commit,Utilities,Eric Sanchez,AE,New Business,Sales WW,Digital Media,GB,07 - Negotiation/Review,False
Opportunity for Bowen646,NC,Customer,Irene McCoy,Mouse,1158700,612,Rivera969 Inc,Canada,9/6/21,False,2016-02-05T00:00:00.000Z,Pipeline,Manufacturing,Bruce Kennedy,AE,New Business,Sales AMER,Accessories,SMB,03 - Needs Analysis,False
Opportunity for Harrington1112,SD,Customer,Laura Garza,Light laptop,905000,175,Rowe333 Inc,Canada,9/17/21,False,2016-06-24T00:00:00.000Z,Pipeline,Communications,Eric Gutierrez,BDR,New Business,Sales AMER,Laptops,ESMB,02 - Qualification,False
Opportunity for Foster1871,,Customer,Dennis Howard,Mega laptop,1628800,194,Carr43 Inc,Australia,6/10/20,True,2015-04-30T00:00:00.000Z,Closed,Apparel,Eric Gutierrez,AE,New Business,Sales AMER,Laptops,MM,08 - Closed Won,True
Opportunity for Figueroa1695,,Partner,Irene McCoy,Books,2604140,486,Morales516 Inc,China,10/10/20,True,2015-03-06T00:00:00.000Z,Closed,Energy,Eric Sanchez,BDR,New Business,Sales WW,Digital Media,GB,08 - Closed Won,True
Opportunity for Bryant952,,Customer,Julie Chavez,Light laptop,1379300,498,Pittman528 Inc,Switzerland,8/27/21,False,2016-04-06T00:00:00.000Z,Pipeline,Energy,Irene McCoy,Marketing,New Business / Add-on,Sales WW,Laptops,GB,04 - Value Proposition,False
Opportunity for Hopkins747,OK,Customer,Doroth Gardner,,218798,204,Erickson874 Inc,USA,5/23/21,True,2015-12-05T00:00:00.000Z,Closed,Media,John Williams,AE,New Business,Sales WW,,MM,08 - Closed Won,True
Opportunity for Dennis956,TN,Customer,Eric Gutierrez,Light laptop,2285700,501,Fox517 Inc,USA,11/3/21,False,2016-08-04T00:00:00.000Z,Pipeline,Energy,Irene Kelley,AE,New Business,Sales AMER,Laptops,GB,02 - Qualification,False
Opportunity for Berry1447,,Customer,Bruce Kennedy,,470298,660,Owens441 Inc,Thailand,5/16/21,True,2015-11-03T00:00:00.000Z,Closed,Agriculture,Dennis Howard,Marketing,New Business,Sales EMEA,,COMM,08 - Closed Won,True
Opportunity for McBride960,,Customer,Nicolas Weaver,Cables,412385,505,Bennett922 Inc,Italy,5/14/21,True,2015-09-30T00:00:00.000Z,Closed,Retail,Chris Riley,BDR,New Business,Sales EMEA,Accessories,ESMB,08 - Closed Won,True
