Opportunity Name,Billing State/Province,Account Type,Account Owner,Product Name,Amount,Billing Country,Account Name,Close Date,Closed,Created Date,Industry,Opportunity Owner,Opportunity Source,Opportunity Type,Owner Role,Product Family,Segment,Stage,Won
Opportunity for Cox29,CO,Customer,Laura Palmer,Books,2345840,USA,Vega718 Inc,2016-05-26,true,2016-04-13T00:00:00.000Z,Energy,Laura Garza,Alliances,Existing Business,Sales WW,Digital Media,COMM,08 - Closed Won,true
Opportunity for Bass32,,Customer,Julie Chavez,Courses,4010350,Belgium,Tucker284 Inc,2015-12-23,true,2015-06-04T00:00:00.000Z,Agriculture,Nicolas Weaver,BDR,New Business / Add-on,Sales AMER,Digital Media,ESMB,08 - Closed Won,true
Opportunity for Butler33,LA,Customer,Laura Palmer,Cases,8577295,USA,Watts685 Inc,2017-01-04,false,2016-06-27T00:00:00.000Z,Biotechnology,Doroth Gardner,Marketing,New Business / Add-on,Sales AMER,Accessories,GB,05 - Perception Analysis,false
Opportunity for Alvarez35,IL,Customer,Laura Garza,Mini tablet,266400,Morocco,Wade723 Inc,2016-07-12,true,2016-03-22T00:00:00.000Z,Banking,Evelyn Williamson,AE,Existing Business,Sales WW,Tablets,SMB,08 - Closed Won,true
Opportunity for Nunez37,SD,Partner,Laura Palmer,Cables,809810,Canada,Smith558 Inc,2016-07-26,true,2016-07-11T00:00:00.000Z,Electronics,Irene Kelley,Alliances,New Business / Add-on,Sales AMER,Accessories,COMM,09 - Closed Lost,false
Opportunity for Wilkins38,,Customer,Chris Riley,Mini tablet 2,980500,Russia,Bennett519 Inc,2016-07-24,true,2016-03-10T00:00:00.000Z,Manufacturing,Eric Sanchez,Marketing,New Business / Add-on,Sales WW,Tablets,MM,08 - Closed Won,true
Opportunity for Stevens152,,Partner,Bruce Kennedy,,11883,Brazil,Rogers668 Inc,2016-03-04,true,2015-09-25T00:00:00.000Z,Finance,Laura Palmer,Marketing,Existing Business,Sales EMEA,,GB,09 - Closed Lost,false
Opportunity for Vega154,MI,Customer,Kelly Frazier,Cables,77270,Canada,Stevenson954 Inc,2016-03-23,true,2016-02-14T00:00:00.000Z,Insurance,Laura Garza,AE,New Business,Sales WW,Accessories,MM,09 - Closed Lost,false
Opportunity for Moss156,,Partner,Eric Gutierrez,Light laptop,857500,Japan,Rios384 Inc,2016-10-13,false,2016-06-16T00:00:00.000Z,Insurance,Laura Palmer,Marketing,New Business / Add-on,Sales EMEA,Laptops,ENT,07 - Negotiation/Review,false
Opportunity for Todd162,HI,Customer,Kelly Frazier,Mini tablet 2,465500,Canada,Maldonado464 Inc,2016-10-24,false,2016-06-25T00:00:00.000Z,Technology,Eric Sanchez,Marketing,New Business / Add-on,Sales WW,Phones,ESMB,01 - Prospecting,false
Opportunity for Snyder164,,Customer,Bruce Kennedy,Books,2505200,Brazil,Silva224 Inc,2015-08-24,true,2015-08-14T00:00:00.000Z,Banking,Chris Riley,AE,New Business,Sales EMEA,Accessories,MM,08 - Closed Won,true
Opportunity for Nichols171,,Customer,Bruce Kennedy,Cases,874780,Brazil,Brewer934 Inc,2015-11-10,true,2015-04-15T00:00:00.000Z,Insurance,Johnny Green,AE,New Business,Sales WW,Accessories,SMB,08 - Closed Won,true
Opportunity for Cunningham175,VA,Customer,Chris Riley,Certifications,4357300,Canada,Flores188 Inc,2016-02-19,true,2016-01-18T00:00:00.000Z,Retail,Kelly Frazier,Marketing,New Business / Add-on,Sales EMEA,Digital Media,MM,08 - Closed Won,true
Opportunity for Bush283,,Customer,Irene McCoy,Certifications,4067300,Switzerland,Allen182 Inc,2016-09-26,false,2016-03-25T00:00:00.000Z,Apparel,Chris Riley,Alliances,New Business,Sales EMEA,Digital Media,MM,06 - Proposal/Price Quote,false
Opportunity for Armstrong296,MO,Customer,Chris Riley,Books,236040,USA,Soto36 Inc,2015-11-23,true,2015-08-31T00:00:00.000Z,Healthcare,Kelly Frazier,BDR,New Business,Sales EMEA,Digital Media,ESMB,08 - Closed Won,true
Opportunity for Francis298,,Partner,Eric Sanchez,Light tablet,219000,Switzerland,Jefferson859 Inc,2016-10-07,false,2016-07-07T00:00:00.000Z,Apparel,John Williams,AE,New Business / Add-on,Sales WW,Tablets,SMB,05 - Perception Analysis,false
Opportunity for McBride299,,Customer,Harold Campbell,Courses,567000,China,Graves925 Inc,2016-09-14,false,2016-02-27T00:00:00.000Z,Education,Johnny Green,AE,New Business,Sales WW,Digital Media,ENT,04 - Value Proposition,false
Opportunity for Miller300,OR,Customer,Doroth Gardner,Mini tablet 2,2303500,USA,Stone533 Inc,2016-04-12,true,2015-09-16T00:00:00.000Z,Technology,Laura Palmer,BDR,New Business,Sales EMEA,Laptops,MM,08 - Closed Won,true
Opportunity for Cross303,,Customer,Julie Chavez,Cables,2086050,Japan,Thompson622 Inc,2016-09-12,false,2016-04-27T00:00:00.000Z,Energy,Bruce Kennedy,AE,New Business,Sales AMER,Accessories,SMB,05 - Perception Analysis,false
Opportunity for Figueroa377,,Customer,Laura Garza,Cables,5839810,Norway,Harris13 Inc,2016-08-27,false,2016-06-02T00:00:00.000Z,Banking,Bruce Kennedy,Marketing,New Business / Add-on,Sales AMER,Accessories,MM,05 - Perception Analysis,false
Opportunity for Collins378,,Customer,Nicolas Weaver,Light tablet,446850,Japan,Rodriguez768 Inc,2015-10-21,true,2015-09-19T00:00:00.000Z,Manufacturing,Eric Gutierrez,AE,New Business,Sales AMER,Phones,SMB,08 - Closed Won,true
Opportunity for May386,,Partner,Dennis Howard,Books,150240,Hong Kong,Medina787 Inc,2016-07-12,true,2016-02-23T00:00:00.000Z,Energy,Laura Garza,Marketing,New Business,Sales WW,Digital Media,MM,08 - Closed Won,true
Opportunity for Hart387,SC,Partner,Catherine Brown,Light tablet 2,822800,USA,Phillips722 Inc,2017-01-01,false,2016-07-07T00:00:00.000Z,Manufacturing,Laura Garza,Alliances,New Business / Add-on,Sales WW,Tablets,GB,03 - Needs Analysis,false
Opportunity for Perry395,,Partner,Laura Garza,Books,237840,South Korea,Green672 Inc,2016-07-14,true,2016-05-23T00:00:00.000Z,Biotechnology,Dennis Howard,Alliances,New Business,Sales EMEA,Digital Media,COMM,08 - Closed Won,true
Opportunity for Nunez399,WI,Customer,Laura Palmer,Mini tablet,844100,Canada,Thornton799 Inc,2016-10-20,false,2016-07-03T00:00:00.000Z,Technology,Irene McCoy,Marketing,New Business / Add-on,Sales WW,Phones,MM,01 - Prospecting,false
Opportunity for Goodwin400,OH,Customer,Irene Kelley,Keyboard,175770,USA,Todd690 Inc,2016-03-14,true,2016-01-22T00:00:00.000Z,Biotechnology,Doroth Gardner,BDR,New Business / Add-on,Sales AMER,Accessories,COMM,08 - Closed Won,true
Opportunity for Shaw178,MS,Customer,Bruce Kennedy,Cables,283440,Canada,Newman145 Inc,2016-06-09,true,2016-04-25T00:00:00.000Z,Insurance,Doroth Gardner,Marketing,New Business,Sales AMER,Accessories,MM,09 - Closed Lost,false
Opportunity for Lambert182,,Customer,Doroth Gardner,Books,1750200,Thailand,Brock75 Inc,2016-08-19,false,2015-12-30T00:00:00.000Z,Apparel,Kelly Frazier,Marketing,New Business / Add-on,Sales EMEA,Digital Media,GB,04 - Value Proposition,false
Opportunity for Barber186,,Customer,Laura Garza,Books,2340210,South Korea,Thomas631 Inc,2016-11-22,false,2016-07-25T00:00:00.000Z,Biotechnology,Irene McCoy,BDR,New Business,Sales WW,Accessories,GB,02 - Qualification,false
Opportunity for Frazier196,,Partner,Nicolas Weaver,Keyboard,164700,Mexico,Marsh614 Inc,2017-01-31,false,2016-08-07T00:00:00.000Z,Finance,Catherine Brown,Marketing,New Business / Add-on,Sales WW,Accessories,MM,05 - Perception Analysis,false
Opportunity for Phelps203,,Customer,Julie Chavez,Cables,22520,Japan,Thompson622 Inc,2015-09-23,true,2015-03-05T00:00:00.000Z,Energy,Doroth Gardner,AE,New Business,Sales AMER,Accessories,SMB,08 - Closed Won,true
Opportunity for Phelps205,,Customer,Harold Campbell,Space phone 2,53325,Singapore,Bryan926 Inc,2016-12-28,false,2016-05-18T00:00:00.000Z,Engineering,Catherine Brown,BDR,Existing Business,Sales WW,Phones,GB,03 - Needs Analysis,false
Opportunity for Morton406,VA,Customer,Irene Kelley,Books,356880,Morocco,Crawford536 Inc,2016-08-29,false,2016-02-12T00:00:00.000Z,Energy,Catherine Brown,Alliances,New Business / Add-on,Sales WW,Digital Media,SMB,02 - Qualification,false
Opportunity for Porter410,,Customer,Bruce Kennedy,Mini tablet 2,2155875,Australia,Herrera868 Inc,2015-12-22,true,2015-07-03T00:00:00.000Z,Utilities,Irene McCoy,AE,Existing Business,Sales WW,Laptops,ESMB,08 - Closed Won,true
Opportunity for McKenzie412,,Customer,Chris Riley,Light tablet 2,3626550,Spain,Roberson8 Inc,2015-07-29,true,2015-04-14T00:00:00.000Z,Technology,Laura Garza,Alliances,New Business / Add-on,Sales WW,Laptops,SMB,09 - Closed Lost,false
Opportunity for Clark413,,Customer,Harold Campbell,Books,148440,United Kingdom,Snyder527 Inc,2015-10-27,true,2015-03-11T00:00:00.000Z,Insurance,Bruce Kennedy,AE,New Business,Sales AMER,Digital Media,MM,09 - Closed Lost,false
Opportunity for West206,,Customer,Irene McCoy,Books,2103270,Italy,Moran300 Inc,2016-01-24,true,2015-08-26T00:00:00.000Z,Healthcare,Catherine Brown,AE,New Business,Sales WW,Accessories,GB,09 - Closed Lost,false
Opportunity for Horton207,MN,Customer,Doroth Gardner,Cables,2166890,USA,Long31 Inc,2016-04-30,true,2015-11-24T00:00:00.000Z,Consulting,Laura Garza,AE,New Business,Sales WW,Accessories,COMM,08 - Closed Won,true
Opportunity for Johnston49,,Partner,Irene McCoy,Cables,316040,Singapore,Nichols662 Inc,2016-06-17,true,2016-04-30T00:00:00.000Z,Manufacturing,Johnny Green,Alliances,Existing Business,Sales WW,Accessories,SMB,08 - Closed Won,true
Opportunity for Potter50,MT,Partner,Chris Riley,Books,333830,Canada,Porter466 Inc,2016-04-15,true,2015-11-16T00:00:00.000Z,Biotechnology,Laura Palmer,Alliances,New Business,Sales EMEA,Digital Media,SMB,08 - Closed Won,true
Opportunity for Parker53,SD,Customer,Laura Garza,Courses,48200,Canada,Pittman113 Inc,2015-11-15,true,2015-04-10T00:00:00.000Z,Manufacturing,Kelly Frazier,BDR,New Business,Sales EMEA,Digital Media,MM,08 - Closed Won,true
Opportunity for Jordan57,OR,Customer,Julie Chavez,Cables,1455310,USA,Mann440 Inc,2016-07-03,true,2015-12-28T00:00:00.000Z,Electronics,Laura Palmer,BDR,New Business / Add-on,Sales EMEA,Accessories,SMB,08 - Closed Won,true
Opportunity for Moss58,,Customer,Laura Garza,Mega laptop,2623525,Russia,McGuire151 Inc,2016-02-08,true,2015-09-26T00:00:00.000Z,Transportation,Laura Garza,AE,New Business / Add-on,Sales WW,Laptops,GB,09 - Closed Lost,false
Opportunity for Bowen59,VT,Customer,Johnny Green,,278337,USA,Cannon212 Inc,2016-10-08,false,2016-06-18T00:00:00.000Z,Manufacturing,Kelly Frazier,Marketing,Existing Business,Sales EMEA,,MM,05 - Perception Analysis,false
Opportunity for Bennett62,,Customer,Evelyn Williamson,Light tablet 2,208375,Japan,Kim800 Inc,2016-10-23,false,2016-05-09T00:00:00.000Z,Technology,Kelly Frazier,Alliances,New Business / Add-on,Sales EMEA,Phones,ESMB,04 - Value Proposition,false
Opportunity for Black67,,Partner,Evelyn Williamson,Cables,1683760,Japan,Black598 Inc,2015-06-12,true,2014-11-12T00:00:00.000Z,Manufacturing,Laura Garza,Marketing,New Business,Sales WW,Accessories,SMB,08 - Closed Won,true
Opportunity for Lowe69,,Customer,Johnny Green,,476918,Russia,Ellis805 Inc,2016-03-10,true,2015-09-29T00:00:00.000Z,Healthcare,Irene Kelley,Marketing,New Business,Sales AMER,,SMB,08 - Closed Won,true
Opportunity for Schwartz75,,Partner,Irene Kelley,Courses,499450,Japan,Myers320 Inc,2016-09-17,false,2016-08-10T00:00:00.000Z,Agriculture,Catherine Brown,AE,New Business / Add-on,Sales WW,Digital Media,SMB,02 - Qualification,false
Opportunity for Morales81,,Customer,Laura Garza,Books,1630580,France,Bradley791 Inc,2016-04-21,true,2015-12-26T00:00:00.000Z,Banking,Catherine Brown,Alliances,New Business,Sales WW,Digital Media,MM,09 - Closed Lost,false
Opportunity for Saunders86,ME,Partner,John Williams,,87409,USA,Castillo620 Inc,2016-06-12,true,2016-05-06T00:00:00.000Z,Manufacturing,Eric Gutierrez,AE,New Business / Add-on,Sales AMER,,SMB,08 - Closed Won,true
Opportunity for Adams87,,Customer,Irene Kelley,Books,1093390,Turkey,Floyd832 Inc,2016-11-16,false,2016-04-26T00:00:00.000Z,Banking,Chris Riley,AE,New Business / Add-on,Sales EMEA,Accessories,MM,04 - Value Proposition,false
Opportunity for Peters89,,Partner,Julie Chavez,,492390,Norway,Bush454 Inc,2015-09-04,true,2015-04-15T00:00:00.000Z,Finance,Chris Riley,Alliances,New Business,Sales EMEA,,SMB,08 - Closed Won,true
Opportunity for Hughes209,IN,Partner,Eric Gutierrez,Cables,19640,USA,Edwards434 Inc,2016-04-19,true,2016-01-13T00:00:00.000Z,Transportation,Chris Riley,Alliances,Existing Business,Sales EMEA,Accessories,COMM,09 - Closed Lost,false
Opportunity for Aguilar210,,Partner,Eric Gutierrez,,202174,Hong Kong,McCarthy602 Inc,2016-04-01,true,2016-01-05T00:00:00.000Z,Healthcare,Nicolas Weaver,AE,New Business,Sales AMER,,SMB,08 - Closed Won,true
Opportunity for Lopez212,NE,Partner,Harold Campbell,Courses,2177800,Canada,Walton636 Inc,2016-07-06,true,2016-01-11T00:00:00.000Z,Consulting,Nicolas Weaver,Alliances,Existing Business,Sales AMER,Digital Media,COMM,08 - Closed Won,true
Opportunity for Guzman213,IA,Partner,Eric Gutierrez,Light laptop,640000,USA,Bass661 Inc,2016-05-07,true,2016-03-09T00:00:00.000Z,Agriculture,Evelyn Williamson,Alliances,New Business / Add-on,Sales WW,Laptops,SMB,08 - Closed Won,true
Opportunity for Cain216,,Partner,Chris Riley,Cables,1138360,Japan,Becker755 Inc,2015-06-17,true,2015-04-01T00:00:00.000Z,Biotechnology,Kelly Frazier,BDR,New Business,Sales EMEA,Accessories,ENT,08 - Closed Won,true
Opportunity for Johnson217,,Partner,Eric Sanchez,Books,1935980,Japan,Banks379 Inc,2016-03-30,true,2015-10-18T00:00:00.000Z,Apparel,Evelyn Williamson,Alliances,Existing Business,Sales WW,Digital Media,ESMB,08 - Closed Won,true
Opportunity for Santos218,,Customer,Laura Garza,,435960,Russia,Stone207 Inc,2016-03-24,true,2016-03-12T00:00:00.000Z,Banking,Doroth Gardner,Marketing,Existing Business,Sales AMER,,ESMB,08 - Closed Won,true
Opportunity for Becker221,,Customer,Johnny Green,Books,374505,Mexico,Lee192 Inc,2016-03-21,true,2015-10-26T00:00:00.000Z,Engineering,Irene Kelley,BDR,New Business / Add-on,Sales AMER,Digital Media,MM,08 - Closed Won,true
Opportunity for McCoy227,AR,Customer,Irene McCoy,Space phone 3,917500,USA,Cox450 Inc,2016-02-13,true,2015-11-07T00:00:00.000Z,Electronics,Johnny Green,BDR,New Business / Add-on,Sales WW,Phones,MM,08 - Closed Won,true
Opportunity for Lee231,MT,Customer,Dennis Howard,Light laptop,5423800,USA,Collins451 Inc,2016-06-29,true,2016-06-05T00:00:00.000Z,Healthcare,Johnny Green,BDR,New Business,Sales WW,Laptops,ESMB,09 - Closed Lost,false
Opportunity for Burns308,,Customer,Laura Palmer,Cables,1188240,Denmark,Gordon406 Inc,2016-11-08,false,2016-04-09T00:00:00.000Z,Engineering,Irene Kelley,AE,Existing Business,Sales AMER,Accessories,COMM,03 - Needs Analysis,false
Opportunity for Smith309,,Customer,Eric Sanchez,Books,3709600,Germany,Fleming816 Inc,2016-02-12,true,2015-07-25T00:00:00.000Z,Insurance,Laura Palmer,BDR,New Business,Sales EMEA,Digital Media,MM,08 - Closed Won,true
Opportunity for Pope310,,Customer,Dennis Howard,Cables,3207480,Japan,Ramirez137 Inc,2016-09-16,false,2016-03-25T00:00:00.000Z,Electronics,John Williams,BDR,Existing Business,Sales WW,Accessories,SMB,03 - Needs Analysis,false
Opportunity for Tyler313,,Customer,Nicolas Weaver,Keyboard,55530,Japan,Rodriguez768 Inc,2015-12-20,true,2015-11-11T00:00:00.000Z,Manufacturing,Laura Palmer,BDR,Existing Business,Sales EMEA,Accessories,SMB,09 - Closed Lost,false
Opportunity for McGee320,,Customer,Harold Campbell,Mini tablet,637600,Taiwan,Alexander704 Inc,2015-07-11,true,2015-06-15T00:00:00.000Z,Banking,Irene Kelley,Marketing,Existing Business,Sales AMER,Tablets,GB,09 - Closed Lost,false
Opportunity for Olson321,FL,Customer,Laura Garza,Cables,3729975,USA,Hart717 Inc,2017-02-11,false,2016-08-02T00:00:00.000Z,Healthcare,Harold Campbell,AE,Existing Business,Sales EMEA,Accessories,MM,02 - Qualification,false
Opportunity for Holland322,,Partner,Dennis Howard,Keyboard,384840,Thailand,Rose673 Inc,2016-03-13,true,2015-10-23T00:00:00.000Z,Consulting,Bruce Kennedy,AE,Existing Business,Sales AMER,Accessories,SMB,09 - Closed Lost,false
Opportunity for Castillo325,MS,Customer,Bruce Kennedy,Light tablet 2,131750,Canada,Newman145 Inc,2015-12-31,true,2015-11-12T00:00:00.000Z,Insurance,Kelly Frazier,AE,New Business,Sales EMEA,Tablets,MM,08 - Closed Won,true
Opportunity for Ramirez108,,Customer,Evelyn Williamson,Books,87240,Singapore,James431 Inc,2016-07-20,true,2016-01-16T00:00:00.000Z,Engineering,Laura Garza,AE,New Business,Sales WW,Digital Media,GB,08 - Closed Won,true
Opportunity for Jones110,AZ,Customer,Eric Gutierrez,Cables,1193160,USA,Glover937 Inc,2016-03-08,true,2016-02-12T00:00:00.000Z,Agriculture,Irene Kelley,Marketing,New Business / Add-on,Sales AMER,Accessories,GB,08 - Closed Won,true
Opportunity for Adkins111,NY,Customer,Bruce Kennedy,Notebook,1402500,Canada,Moreno366 Inc,2016-01-08,true,2015-11-02T00:00:00.000Z,Technology,Doroth Gardner,AE,Existing Business,Sales AMER,Laptops,ENT,08 - Closed Won,true
Opportunity for Lynch113,,Customer,Dennis Howard,Light laptop,1817900,Japan,Ramirez137 Inc,2016-08-07,true,2016-06-28T00:00:00.000Z,Electronics,Nicolas Weaver,AE,New Business,Sales AMER,Laptops,SMB,08 - Closed Won,true
Opportunity for Peterson119,,Customer,Dennis Howard,Books,195360,Switzerland,Hawkins276 Inc,2016-01-18,true,2015-07-13T00:00:00.000Z,Insurance,Bruce Kennedy,Marketing,New Business / Add-on,Sales AMER,Digital Media,MM,09 - Closed Lost,false
